,Train Loss,Validation Loss
0,0.20907927,0.22585586
1,0.15386651,0.15215702
2,0.107543156,0.11075848
3,0.23053743,0.0993177
4,0.14440718,0.10377568
5,0.12440244,0.095837384
6,0.37217703,0.09644616
7,0.0983156,0.0974912
8,0.09976068,0.09151201
9,0.11697315,0.09535763
10,0.103292,0.08440495
11,0.11534776,0.0849462
12,0.11485857,0.09240734
13,0.11145349,0.08419988
14,0.11000462,0.08723021
15,0.1208278,0.08670544
16,0.11022409,0.09102272
17,0.10561396,0.08148114
18,0.099103466,0.08973402
19,0.093981326,0.08202781
20,0.13849635,0.081437014
21,0.07885984,0.08697502
22,0.07887714,0.085227564
23,0.15628599,0.07191074
24,0.0856052,0.083122894
25,0.0848977,0.076022014
26,0.083815314,0.080954954
27,0.09732755,0.081463315
28,0.078629225,0.07401499
29,0.07991149,0.072023585
30,0.10836503,0.079425395
31,0.08576673,0.09939526
32,0.07852476,0.07478633
33,0.087697,0.08051586
34,0.068560906,0.06896434
35,0.074288934,0.06970696
36,0.31552443,0.072674066
37,0.09981024,0.072486565
38,0.11360143,0.12447719
39,0.42310673,0.090303786
40,0.12627074,0.073151454
41,0.09932287,0.0714129
42,0.09600826,0.07971019
43,0.07735165,0.07326323
44,0.1431408,0.07867773
45,0.08832105,0.077056825
46,0.12587762,0.07303397
47,0.09144842,0.0737994
48,0.3781725,0.06822315
49,0.11128872,0.087221585
50,0.10127777,0.074570775
51,0.08837114,0.06598749
52,0.118388966,0.08059678
53,0.078685015,0.07319852
54,0.065498605,0.08224384
55,0.06934129,0.07104863
56,0.122522414,0.06698504
57,0.07856898,0.067687646
58,0.07855266,0.070955746
59,0.06888759,0.08329038
60,0.077410854,0.07044646
61,0.09849423,0.07494475
62,0.17780146,0.08388676
63,0.095251754,0.07071588
64,0.41514122,0.06770634
65,0.08653425,0.06868515
66,0.09910576,0.07614592
67,0.07837116,0.08423473
68,0.0783789,0.07393695
69,0.11279175,0.06565291
70,0.08383883,0.067589074
71,0.08308605,0.07434516
72,0.09698766,0.074981235
73,0.07606068,0.06708723
74,0.083165206,0.069078565
75,0.07144764,0.06535916
76,0.06944896,0.07472176
77,0.08588889,0.06741194
78,0.08566517,0.07167933
79,0.06341707,0.075789325
80,0.13754077,0.0671551
81,0.08527354,0.06614025
82,0.06340398,0.068360955
83,0.07599752,0.06474099
84,0.06780219,0.07273591
85,0.10383725,0.0746648
86,0.07533116,0.065384194
87,0.08156537,0.08371878
88,0.1060059,0.07172068
89,0.07033297,0.07060829
90,0.11147944,0.065744765
91,0.109001786,0.06457569
92,0.080476105,0.0703487
93,0.069294594,0.07215358
94,0.082547754,0.06630547
95,0.09577614,0.08983802
96,0.06179811,0.06958008
97,0.09241364,0.063541465
98,0.11830393,0.068618506
99,0.15107255,0.07173758
100,0.118268155,0.07093442
101,0.065058045,0.07357141
102,0.089820325,0.069340914
103,0.06986733,0.07088217
104,0.08791074,0.067567945
105,0.06503887,0.06344846
106,0.07109498,0.07285225
107,0.08456367,0.06725868
108,0.07889313,0.065677
109,0.08396511,0.067363754
110,0.07121133,0.08622337
111,0.06726397,0.06859763
112,0.0839281,0.070141025
113,0.08538397,0.066144615
114,0.062998794,0.06478753
115,0.10353174,0.06920033
116,0.06406524,0.06321931
117,0.07217568,0.06208381
118,0.08722837,0.06348123
119,0.07342368,0.07868033
120,0.09205999,0.06322171
121,0.063371494,0.06526274
122,0.06772705,0.06858571
